ID,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),CO2 Emissions(g/km)
1,ACURA,ILX,COMPACT,2,4,AS5,Z,9.9,6.7,196
2,ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,221
3,ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6,5.8,136
4,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,255
5,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,244
6,ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,230
7,ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,232
8,ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9,255
9,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,267
10,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,212
11,ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,225
12,ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,239
13,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,193
14,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18,12.6,359
15,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18,12.6,359
16,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,338
17,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,354
18,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,338
19,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,354
20,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18,12.6,359
21,AUDI,A4,COMPACT,2,4,AV8,Z,9.9,7.4,202
22,AUDI,A4 QUATTRO,COMPACT,2,4,AS8,Z,11.5,8.1,230
23,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,10.8,7.5,214
24,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,230
25,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.5,8.1,230
26,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,10.8,7.5,214
